"","participant","block","stimulus","age_group","observation","Stimulus.RT","mean_rt","sd_rt"
"1",10003,1,"Number_5_Font_72","young",79,720,456.925754060325,130.025940709028
"2",10003,1,"Number_2_Font_72","young",88,766,456.925754060325,130.025940709028
"3",10003,8,"Number_4_Font_72","young",684,742,442.892664092664,133.75364352549
"4",10009,1,"Number_4_Font_72","young",43,814,456.925754060325,130.025940709028
"5",10009,1,"Number_8_Font_72","young",46,810,456.925754060325,130.025940709028
"6",10009,1,"Number_1_Font_72","young",81,738,456.925754060325,130.025940709028
"7",10009,8,"Number_9_Font_72","young",674,1087,442.892664092664,133.75364352549
"8",10010,1,"Number_9_Font_72","young",2,725,456.925754060325,130.025940709028
"9",10010,8,"Number_9_Font_72","young",663,719,442.892664092664,133.75364352549
"10",10503,1,"Number_1_Font_72","young",5,898,456.925754060325,130.025940709028
"11",10503,1,"Number_0_Font_72","young",9,732,456.925754060325,130.025940709028
"12",10503,1,"Number_0_Font_72","young",45,954,456.925754060325,130.025940709028
"13",10503,1,"Number_9_Font_72","young",50,739,456.925754060325,130.025940709028
"14",10503,1,"Number_5_Font_72","young",60,1056,456.925754060325,130.025940709028
"15",10503,1,"Number_5_Font_72","young",77,728,456.925754060325,130.025940709028
"16",10503,7,"Number_9_Font_72","young",630,788,440.899536321484,143.818575397368
"17",10503,8,"Number_5_Font_72","young",632,742,442.892664092664,133.75364352549
"18",10503,8,"Number_5_Font_72","young",635,811,442.892664092664,133.75364352549
"19",10503,8,"Number_4_Font_72","young",695,792,442.892664092664,133.75364352549
"20",10503,8,"Number_1_Font_72","young",714,776,442.892664092664,133.75364352549
"21",10005,7,"Number_9_Font_72","young",630,741,440.899536321484,143.818575397368
"22",10001,1,"Number_0_Font_72","young",45,848,456.925754060325,130.025940709028
"23",10001,8,"Number_4_Font_72","young",655,754,442.892664092664,133.75364352549
"24",10001,8,"Number_8_Font_72","young",708,720,442.892664092664,133.75364352549
"25",10001,8,"Number_9_Font_72","young",712,755,442.892664092664,133.75364352549
"26",10008,1,"Number_9_Font_72","young",2,750,456.925754060325,130.025940709028
"27",10008,1,"Number_4_Font_72","young",30,748,456.925754060325,130.025940709028
"28",10008,8,"Number_0_Font_72","young",660,741,442.892664092664,133.75364352549
"29",10008,8,"Number_4_Font_72","young",685,844,442.892664092664,133.75364352549
"30",10505,1,"Number_9_Font_72","young",12,812,456.925754060325,130.025940709028
"31",10505,1,"Number_8_Font_72","young",69,787,456.925754060325,130.025940709028
"32",10510,1,"Number_0_Font_72","young",9,868,456.925754060325,130.025940709028
"33",10007,1,"Number_7_Font_72","young",71,1197,456.925754060325,130.025940709028
"34",10007,8,"Number_0_Font_72","young",642,720,442.892664092664,133.75364352549
"35",10007,8,"Number_2_Font_72","young",653,816,442.892664092664,133.75364352549
"36",10007,8,"Number_2_Font_72","young",654,732,442.892664092664,133.75364352549
"37",10007,8,"Number_4_Font_72","young",665,765,442.892664092664,133.75364352549
"38",10007,8,"Number_7_Font_72","young",668,773,442.892664092664,133.75364352549
"39",10007,8,"Number_1_Font_72","young",672,919,442.892664092664,133.75364352549
"40",10007,8,"Number_5_Font_72","young",678,991,442.892664092664,133.75364352549
"41",10007,8,"Number_4_Font_72","young",679,711,442.892664092664,133.75364352549
"42",10007,8,"Number_9_Font_72","young",690,831,442.892664092664,133.75364352549
"43",10007,8,"Number_0_Font_72","young",691,742,442.892664092664,133.75364352549
"44",10007,8,"Number_0_Font_72","young",696,29,442.892664092664,133.75364352549
"45",10506,1,"Number_9_Font_72","young",12,762,456.925754060325,130.025940709028
"46",10506,1,"Number_0_Font_72","young",45,1469,456.925754060325,130.025940709028
"47",10501,1,"Number_8_Font_72","young",26,742,456.925754060325,130.025940709028
"48",10501,1,"Number_7_Font_72","young",34,850,456.925754060325,130.025940709028
"49",10501,1,"Number_8_Font_72","young",65,774,456.925754060325,130.025940709028
"50",10504,1,"Number_9_Font_72","young",2,834,456.925754060325,130.025940709028
"51",10504,8,"Number_9_Font_72","young",663,931,442.892664092664,133.75364352549
"52",10504,8,"Number_9_Font_72","young",690,717,442.892664092664,133.75364352549
"53",10508,1,"Number_9_Font_72","young",2,769,456.925754060325,130.025940709028
"54",10508,1,"Number_5_Font_72","young",8,731,456.925754060325,130.025940709028
"55",10508,1,"Number_7_Font_72","young",10,759,456.925754060325,130.025940709028
"56",10508,1,"Number_8_Font_72","young",11,1172,456.925754060325,130.025940709028
"57",10508,1,"Number_1_Font_72","young",17,1032,456.925754060325,130.025940709028
"58",10508,1,"Number_7_Font_72","young",28,920,456.925754060325,130.025940709028
"59",10508,1,"Number_9_Font_72","young",38,2060,456.925754060325,130.025940709028
"60",10508,1,"Number_8_Font_72","young",47,797,456.925754060325,130.025940709028
"61",10508,1,"Number_9_Font_72","young",55,913,456.925754060325,130.025940709028
"62",10508,1,"Number_5_Font_72","young",62,1124,456.925754060325,130.025940709028
"63",10508,1,"Number_5_Font_72","young",76,730,456.925754060325,130.025940709028
"64",10508,1,"Number_7_Font_72","young",80,856,456.925754060325,130.025940709028
"65",10508,1,"Number_1_Font_72","young",81,778,456.925754060325,130.025940709028
"66",10508,1,"Number_9_Font_72","young",82,847,456.925754060325,130.025940709028
"67",10508,1,"Number_2_Font_72","young",83,1416,456.925754060325,130.025940709028
"68",10508,1,"Number_4_Font_72","young",84,1014,456.925754060325,130.025940709028
"69",10508,7,"Number_9_Font_72","young",630,1028,440.899536321484,143.818575397368
"70",10508,8,"Number_8_Font_72","young",637,1212,442.892664092664,133.75364352549
"71",10508,8,"Number_7_Font_72","young",639,767,442.892664092664,133.75364352549
"72",10508,8,"Number_8_Font_72","young",643,925,442.892664092664,133.75364352549
"73",10508,8,"Number_5_Font_72","young",644,846,442.892664092664,133.75364352549
"74",10508,8,"Number_9_Font_72","young",645,1040,442.892664092664,133.75364352549
"75",10508,8,"Number_1_Font_72","young",646,1062,442.892664092664,133.75364352549
"76",10508,8,"Number_8_Font_72","young",648,1121,442.892664092664,133.75364352549
"77",10508,8,"Number_8_Font_72","young",650,827,442.892664092664,133.75364352549
"78",10508,8,"Number_2_Font_72","young",651,1153,442.892664092664,133.75364352549
"79",10508,8,"Number_5_Font_72","young",656,901,442.892664092664,133.75364352549
"80",10508,8,"Number_7_Font_72","young",657,1138,442.892664092664,133.75364352549
"81",10508,8,"Number_4_Font_72","young",661,1139,442.892664092664,133.75364352549
"82",10508,8,"Number_9_Font_72","young",663,846,442.892664092664,133.75364352549
"83",10508,8,"Number_8_Font_72","young",664,916,442.892664092664,133.75364352549
"84",10508,8,"Number_4_Font_72","young",665,973,442.892664092664,133.75364352549
"85",10508,8,"Number_1_Font_72","young",667,972,442.892664092664,133.75364352549
"86",10508,8,"Number_7_Font_72","young",668,858,442.892664092664,133.75364352549
"87",10508,8,"Number_0_Font_72","young",669,791,442.892664092664,133.75364352549
"88",10508,8,"Number_2_Font_72","young",670,1033,442.892664092664,133.75364352549
"89",10508,8,"Number_5_Font_72","young",675,812,442.892664092664,133.75364352549
"90",10508,8,"Number_7_Font_72","young",680,896,442.892664092664,133.75364352549
"91",10508,8,"Number_8_Font_72","young",689,763,442.892664092664,133.75364352549
"92",10508,8,"Number_2_Font_72","young",692,1079,442.892664092664,133.75364352549
"93",10508,8,"Number_0_Font_72","young",696,738,442.892664092664,133.75364352549
"94",10508,8,"Number_9_Font_72","young",697,852,442.892664092664,133.75364352549
"95",10508,8,"Number_7_Font_72","young",705,1216,442.892664092664,133.75364352549
"96",10508,8,"Number_2_Font_72","young",707,1747,442.892664092664,133.75364352549
"97",10508,8,"Number_8_Font_72","young",708,737,442.892664092664,133.75364352549
"98",10508,8,"Number_4_Font_72","young",710,840,442.892664092664,133.75364352549
"99",10508,8,"Number_4_Font_72","young",711,768,442.892664092664,133.75364352549
"100",10508,8,"Number_9_Font_72","young",712,1037,442.892664092664,133.75364352549
"101",10508,8,"Number_7_Font_72","young",716,727,442.892664092664,133.75364352549
"102",15507,1,"Number_1_Font_72","older",54,922,588.700609225413,161.412091395773
"103",15006,1,"Number_9_Font_72","older",38,916,588.700609225413,161.412091395773
"104",15505,1,"Number_2_Font_72","older",27,1002,588.700609225413,161.412091395773
"105",15505,8,"Number_4_Font_72","older",655,1135,598.417832167832,243.392460864023
"106",15505,8,"Number_4_Font_72","older",679,1361,598.417832167832,243.392460864023
"107",15505,8,"Number_4_Font_72","older",695,1856,598.417832167832,243.392460864023
"108",15001,8,"Number_7_Font_72","older",705,1291,598.417832167832,243.392460864023
"109",15502,1,"Number_9_Font_72","older",2,1540,588.700609225413,161.412091395773
"110",15502,1,"Number_0_Font_72","older",35,1002,588.700609225413,161.412091395773
"111",15502,1,"Number_1_Font_72","older",67,960,588.700609225413,161.412091395773
"112",15502,1,"Number_8_Font_72","older",69,1075,588.700609225413,161.412091395773
"113",15502,8,"Number_5_Font_72","older",632,2078,598.417832167832,243.392460864023
"114",15502,8,"Number_7_Font_72","older",657,1131,598.417832167832,243.392460864023
"115",15502,8,"Number_7_Font_72","older",668,1234,598.417832167832,243.392460864023
"116",15502,8,"Number_9_Font_72","older",674,1704,598.417832167832,243.392460864023
"117",15007,1,"Number_9_Font_72","older",3,947,588.700609225413,161.412091395773
"118",15007,1,"Number_5_Font_72","older",13,921,588.700609225413,161.412091395773
"119",15007,1,"Number_9_Font_72","older",14,913,588.700609225413,161.412091395773
"120",15007,1,"Number_1_Font_72","older",17,1144,588.700609225413,161.412091395773
"121",15007,1,"Number_8_Font_72","older",19,1261,588.700609225413,161.412091395773
"122",15007,1,"Number_2_Font_72","older",27,1122,588.700609225413,161.412091395773
"123",15007,1,"Number_0_Font_72","older",35,1015,588.700609225413,161.412091395773
"124",15007,1,"Number_9_Font_72","older",38,1130,588.700609225413,161.412091395773
"125",15007,1,"Number_0_Font_72","older",59,1115,588.700609225413,161.412091395773
"126",15007,8,"Number_4_Font_72","older",679,1375,598.417832167832,243.392460864023
"127",15007,8,"Number_0_Font_72","older",696,1191,598.417832167832,243.392460864023
"128",15002,8,"Number_4_Font_72","older",665,1752,598.417832167832,243.392460864023
"129",15000,1,"Number_9_Font_72","older",14,1423,588.700609225413,161.412091395773
"130",15000,1,"Number_7_Font_72","older",22,1249,588.700609225413,161.412091395773
"131",15000,1,"Number_0_Font_72","older",35,961,588.700609225413,161.412091395773
"132",15000,1,"Number_4_Font_72","older",43,942,588.700609225413,161.412091395773
"133",15000,1,"Number_1_Font_72","older",44,1577,588.700609225413,161.412091395773
"134",15000,1,"Number_0_Font_72","older",45,1186,588.700609225413,161.412091395773
"135",15000,1,"Number_1_Font_72","older",67,1010,588.700609225413,161.412091395773
"136",15000,1,"Number_4_Font_72","older",84,1434,588.700609225413,161.412091395773
"137",15000,8,"Number_5_Font_72","older",675,2173,598.417832167832,243.392460864023
"138",15000,8,"Number_2_Font_72","older",692,1296,598.417832167832,243.392460864023
"139",15000,8,"Number_7_Font_72","older",705,1096,598.417832167832,243.392460864023
"140",15009,1,"Number_9_Font_72","older",2,1350,588.700609225413,161.412091395773
"141",15009,1,"Number_9_Font_72","older",3,972,588.700609225413,161.412091395773
"142",15009,1,"Number_8_Font_72","older",19,962,588.700609225413,161.412091395773
"143",15009,1,"Number_0_Font_72","older",20,1309,588.700609225413,161.412091395773
"144",15009,1,"Number_8_Font_72","older",26,1487,588.700609225413,161.412091395773
"145",15009,1,"Number_2_Font_72","older",27,1100,588.700609225413,161.412091395773
"146",15009,1,"Number_2_Font_72","older",33,1485,588.700609225413,161.412091395773
"147",15009,1,"Number_7_Font_72","older",34,991,588.700609225413,161.412091395773
"148",15009,1,"Number_9_Font_72","older",38,1201,588.700609225413,161.412091395773
"149",15009,1,"Number_8_Font_72","older",46,1049,588.700609225413,161.412091395773
"150",15009,1,"Number_5_Font_72","older",62,1071,588.700609225413,161.412091395773
"151",15009,1,"Number_1_Font_72","older",67,913,588.700609225413,161.412091395773
"152",15009,1,"Number_9_Font_72","older",82,912,588.700609225413,161.412091395773
"153",15009,7,"Number_2_Font_72","older",628,1321,593.684210526316,262.329103726215
"154",15009,8,"Number_2_Font_72","older",636,1459,598.417832167832,243.392460864023
"155",15009,8,"Number_8_Font_72","older",637,1108,598.417832167832,243.392460864023
"156",15009,8,"Number_2_Font_72","older",640,1483,598.417832167832,243.392460864023
"157",15009,8,"Number_8_Font_72","older",643,1772,598.417832167832,243.392460864023
"158",15009,8,"Number_5_Font_72","older",644,2022,598.417832167832,243.392460864023
"159",15009,8,"Number_1_Font_72","older",646,1317,598.417832167832,243.392460864023
"160",15009,8,"Number_8_Font_72","older",648,2078,598.417832167832,243.392460864023
"161",15009,8,"Number_8_Font_72","older",650,1521,598.417832167832,243.392460864023
"162",15009,8,"Number_2_Font_72","older",651,1783,598.417832167832,243.392460864023
"163",15009,8,"Number_4_Font_72","older",655,1239,598.417832167832,243.392460864023
"164",15009,8,"Number_8_Font_72","older",659,1815,598.417832167832,243.392460864023
"165",15009,8,"Number_0_Font_72","older",660,1500,598.417832167832,243.392460864023
"166",15009,8,"Number_4_Font_72","older",661,1808,598.417832167832,243.392460864023
"167",15009,8,"Number_9_Font_72","older",663,1339,598.417832167832,243.392460864023
"168",15009,8,"Number_8_Font_72","older",664,1193,598.417832167832,243.392460864023
"169",15009,8,"Number_2_Font_72","older",666,1389,598.417832167832,243.392460864023
"170",15009,8,"Number_7_Font_72","older",668,1549,598.417832167832,243.392460864023
"171",15009,8,"Number_0_Font_72","older",669,1178,598.417832167832,243.392460864023
"172",15009,8,"Number_2_Font_72","older",670,1202,598.417832167832,243.392460864023
"173",15009,8,"Number_8_Font_72","older",671,1093,598.417832167832,243.392460864023
"174",15009,8,"Number_1_Font_72","older",672,2507,598.417832167832,243.392460864023
